N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,900",400,-0.49%,100,"4,889,252","5,969,783",54.49,"12,802,210",21.32,9.99,
2,SK하이닉스,"129,500",500,+0.39%,"5,000","942,763","728,002",49.84,"3,421,855",19.83,9.53,
3,LG화학,"919,000","19,000",-2.03%,"5,000","648,744","70,592",45.72,"171,986",140.33,2.93,
4,삼성전자우,"74,800",300,+0.40%,100,"615,519","822,887",77.11,"1,327,218",19.47,N/A,
5,NAVER,"361,000",500,-0.14%,100,"592,991","164,263",56.90,"444,578",59.21,15.22,
6,삼성바이오로직스,"804,000","21,000",+2.68%,"2,500","531,967","66,165",10.25,"192,315",220.76,N/A,
7,카카오,"114,500",500,-0.43%,100,"508,162","443,809",33.25,"2,033,899",322.54,2.70,
8,현대차,"224,000",500,+0.22%,"5,000","478,617","213,668",30.49,"598,369",43.55,2.04,
9,삼성SDI,"642,000",0,0.00%,"5,000","441,468","68,765",42.70,"242,448",78.62,4.54,
10,셀트리온,"266,500","14,000",+5.54%,"1,000","366,980","137,703",20.74,"1,286,288",71.70,16.68,
11,POSCO,"398,000","2,500",+0.63%,"5,000","347,004","87,187",55.03,"418,859",21.66,3.61,
12,기아,"80,700",500,+0.62%,"5,000","327,128","405,363",32.76,"1,113,734",21.99,5.05,
13,현대모비스,"277,500","3,000",+1.09%,"5,000","263,051","94,793",37.46,"305,012",17.26,4.66,
14,SK이노베이션,"283,500","2,000",+0.71%,"5,000","262,140","92,466",23.23,"950,315",-12.23,-13.58,
15,SK텔레콤,"312,000","2,500",+0.81%,500,"251,927","80,746",39.56,"195,883",16.75,6.44,
16,삼성물산,"134,500","1,500",+1.13%,100,"251,363","186,887",14.78,"364,346",24.60,3.81,
17,LG전자,"153,000","1,500",+0.99%,"5,000","250,381","163,648",30.91,"901,683",14.06,13.23,
18,LG생활건강,"1,571,000","10,000",-0.63%,"5,000","245,362","15,618",46.05,"22,748",34.90,17.92,
19,KB금융,"58,300",800,+1.39%,"5,000","242,416","415,808",69.41,"1,663,858",7.02,8.53,
20,LG,"126,500",0,0.00%,"5,000","218,285","172,557",34.67,0,15.18,7.50,
21,신한지주,"41,500",500,+1.22%,"5,000","214,389","516,600",60.76,"2,357,484",6.16,8.20,
22,SK,"282,500","2,000",+0.71%,200,"198,768","70,360",20.94,"135,743",105.81,1.11,
23,엔씨소프트,"830,000","24,000",+2.98%,500,"182,218","21,954",52.05,"95,606",31.02,20.83,
24,삼성생명,"86,400",0,0.00%,500,"172,800","200,000",13.24,"428,211",13.65,3.53,
25,아모레퍼시픽,"277,000",500,+0.18%,500,"161,930","58,458",33.89,"115,560",544.20,0.78,
26,한국전력,"24,300",700,+2.97%,"5,000","155,997","641,964",16.45,"4,225,027",7.83,2.91,
27,HMM,"42,600","2,700",+6.77%,"5,000","147,137","345,392",12.35,"20,477,709",110.94,8.93,
28,삼성에스디에스,"183,000","3,000",+1.67%,500,"141,601","77,378",11.57,"117,932",31.93,6.71,
29,하나금융지주,"46,300",50,-0.11%,"5,000","139,012","300,242",69.26,"1,115,999",5.27,8.96,
30,삼성전기,"182,000","5,000",+2.82%,"5,000","135,943","74,694",34.28,"478,057",23.38,10.92,
31,SK바이오사이언스,"160,500",500,+0.31%,500,"122,782","76,500",2.86,"575,780",298.88,13.25,
32,포스코케미칼,"150,000",500,+0.33%,500,"116,195","77,463",7.66,"168,613",325.38,2.96,
33,KT&G,"83,900",700,+0.84%,"5,000","115,188","137,292",40.14,"622,602",9.83,13.22,
34,넷마블,"130,500","3,500",+2.76%,100,"112,169","85,954",23.85,"245,763",35.78,6.35,
35,한국조선해양,"154,500","1,500",+0.98%,"5,000","109,344","70,773",18.15,"449,247",-13.11,-7.42,
36,S-Oil,"94,400","1,100",-1.15%,"2,500","106,278","112,583",76.59,"606,740",-13.83,-13.07,
37,롯데케미칼,"309,000","5,000",+1.64%,"5,000","105,911","34,275",26.01,"301,149",66.84,1.22,
38,삼성화재,"208,000","4,000",+1.96%,500,"98,540","47,375",47.28,"135,126",13.93,4.96,
39,대한항공,"27,900",300,+1.09%,"5,000","97,042","347,821",10.76,"4,817,668",-23.54,-7.22,
40,하이브,"252,500","1,500",+0.60%,500,"89,950","35,624",8.69,"193,275",N/A,12.52,
41,한화솔루션,"46,800",700,+1.52%,"5,000","89,518","191,278",17.45,"1,026,282",25.39,5.30,
42,LG디스플레이,"24,700",550,+2.28%,"5,000","88,380","357,816",23.05,"4,729,038",-98.80,-0.79,
43,한온시스템,"16,450",0,0.00%,100,"87,810","533,800",19.33,"795,655",79.47,5.09,
44,고려아연,"455,500","8,500",-1.83%,"5,000","85,953","18,870",21.84,"79,743",15.00,8.37,
45,금호석유,"281,000","15,000",-5.07%,"5,000","85,614","30,468",26.04,"1,109,911",16.14,20.18,
46,SK바이오팜,"108,000","2,000",+1.89%,500,"84,578","78,313",7.48,"172,807",-31.38,-135.18,
47,우리금융지주,"11,000",50,+0.46%,"5,000","79,449","722,268",27.07,"2,210,071",6.08,5.87,
48,현대제철,"59,500","1,100",+1.88%,"5,000","79,400","133,446",20.37,"1,691,647",-18.47,-2.59,
49,KT,"29,350",50,+0.17%,"5,000","76,636","261,112",43.35,"706,504",11.65,4.76,
50,기업은행,"10,200",50,+0.49%,"5,000","75,344","738,664",13.12,"3,243,970",5.09,6.44,
51,현대글로비스,"198,500",500,-0.25%,500,"74,438","37,500",33.90,"160,753",12.28,12.45,
52,미래에셋증권,"10,200",100,+0.99%,"5,000","64,802","635,316",14.96,"2,066,508",9.99,8.94,
53,CJ제일제당,"427,000","19,500",+4.79%,"5,000","64,281","15,054",24.72,"198,994",10.20,13.50,
54,한국금융지주,"112,000","3,000",+2.75%,"5,000","62,413","55,726",32.99,"340,498",7.99,16.27,
55,LG유플러스,"14,050",50,+0.36%,"5,000","61,344","436,611",31.57,"1,828,443",13.14,6.46,
56,한국타이어앤테크놀로지,"49,500",700,-1.39%,500,"61,318","123,875",41.84,"220,172",16.47,5.12,
57,아모레G,"74,000",100,+0.14%,500,"61,019","82,458",19.14,"151,854",685.19,0.31,
58,현대건설,"53,600","1,300",+2.49%,"5,000","59,687","111,356",21.19,"1,064,888",48.82,1.84,
59,현대중공업지주,"75,500",800,-1.05%,"1,000","59,640","78,993",17.32,"637,534",-9.89,-8.12,
60,강원랜드,"25,550",250,+0.99%,500,"54,662","213,940",20.88,"695,734",-19.82,-7.92,
61,SKC,"142,500","4,500",+3.26%,"5,000","53,962","37,868",11.58,"252,544",144.08,2.21,
62,두산중공업,"12,650",150,+1.20%,"5,000","53,444","422,481",8.71,"2,495,894",-3.22,-37.20,
63,두산밥캣,"51,400",300,+0.59%,500,"51,528","100,249",24.62,"425,579",20.83,6.15,
64,코웨이,"69,400","1,600",+2.36%,500,"51,217","73,800",58.02,"384,307",12.65,31.51,
65,오리온,"120,500","1,500",+1.26%,500,"47,641","39,536",41.09,"142,569",17.80,15.50,
66,LG이노텍,"201,000","5,500",+2.81%,"5,000","47,571","23,667",29.65,"139,317",20.15,10.20,
67,한미사이언스,"70,100","3,300",+4.94%,500,"47,181","67,305",1.78,"264,873",208.63,3.47,
68,맥쿼리인프라,"12,150",50,+0.41%,0,"45,221","372,192",15.27,"829,612",N/A,N/A,
69,이마트,"161,500","1,000",+0.62%,"5,000","45,019","27,876",31.64,"180,330",12.44,4.05,
70,유한양행,"63,100",900,+1.45%,"1,000","44,153","69,973",18.59,"160,243",23.29,11.06,
71,녹십자,"373,000","7,500",+2.05%,"5,000","43,591","11,687",19.12,"229,951",53.79,7.48,
72,GS,"46,700",50,+0.11%,"5,000","43,391","92,915",18.46,"395,348",-18.22,-2.82,
73,KODEX 200,"42,905",275,+0.65%,0,"41,575","96,900",3.07,"3,214,542",N/A,N/A,
74,한미약품,"340,500","1,500",+0.44%,"2,500","41,127","12,078",13.21,"51,836",343.94,1.65,
75,현대차2우B,"111,000","3,500",+3.26%,"5,000","40,499","36,485",61.94,"168,534",21.58,N/A,
76,대우조선해양,"37,250",0,0.00%,"5,000","39,966","107,291",8.29,"1,281,259",46.16,2.27,
77,팬오션,"7,440",260,-3.38%,"1,000","39,772","534,570",11.38,"20,112,731",43.01,3.25,
78,삼성카드,"34,250",50,-0.15%,"5,000","39,682","115,859",11.57,"201,470",9.95,5.69,
79,GS건설,"45,650",700,+1.56%,"5,000","39,027","85,491",29.19,"663,758",11.74,7.68,
80,쌍용C&E,"7,730",180,+2.38%,100,"38,948","503,860",3.47,"1,416,334",28.21,7.92,
81,삼성증권,"43,500",200,+0.46%,"5,000","38,846","89,300",27.71,"479,129",7.65,9.89,
